Country/area,2022_Renewable(%),2022_Hydro_generation(TWH),2022_Hydro_generation(%),2022_Hydro_consumption(%),2022_Wind_generation(TWH),2022_Wind_generation(%),2022_Wind_consumption(%),2022_Solar_generation(TWH),2022_Solar_generation(%),2022_Solar_consumption(%),OtherRenewables_2022(%),Total_EnergyProd_2022(TWH),Norm_RenEnergy_produced_2022
Algeria,,,5.26,4.8,,,,,,,,,
Argentina,,1.23,45.59,1.1,,,,,,,,,
Australia,,7.69,11.27,5.3,,,,,,,,,
Austria,,16.08,70.36,25.1,,,,,,,,,
Azerbaijan,,,6.34,,,,,,,,,,
Bangladesh,16.32,,16.32,,,0.0,,,0.0,,0.0,,0.5644821492582368
Belarus,,,0.06,,,,,,,,,,
Belgium,,0.27,0.5,0.2,,0.0,,,,,,,
Brazil,,25.52,92.1,27.5,,0.0,,,,,,,
Bulgaria,,2.0,5.37,4.9,,,,,,,,,
Canada,,118.09,66.15,25.1,,0.0,,,,,,,
Chile,,3.95,78.85,16.1,,,,,,,,,
China,22.5,22.1,22.5,4.3,,0.0,,,0.0,,0.0,101.80995475113122,0.7782382572494073
Colombia,,3.54,62.78,10.7,,,,,,,,,
Croatia,,,,,,,,,,,,,
Shechia,,2.23,2.88,1.4,,,,,,,,,
Denmark,,0.03,0.1,,,0.2,,,,,,,
Equador,,0.25,71.94,,,,,,,,,,
Egypt,,1.73,30.24,5.6,,0.0,,,,,,,
Estonia,,,0.0,,,,,,,,,,
Finland,,9.35,24.97,,,,,,,,,,
France,,46.88,17.97,10.6,,,,,,,,,
Germany,,16.21,3.33,1.6,,0.0,,,,,,,
Greece,,0.8,10.11,,,0.0,,,,,,,
Hong Kong,,0.0,0.0,,,,,,,,,,
Hungary,,0.07,0.58,0.1,,,,,,,,,
Iceland,,0.64,95.45,,,,,,,,,,
India,27.8,19.17,27.8,9.1,0.0,0.0,0.0,,0.0,,0.0,145.01825769431403,0.9615566022903789
Indonesia,16.9,1.83,16.9,6.4,0.0,0.0,0.0,,0.0,,0.0,923.4972677595626,0.584543402111777
Iran,,1.72,15.16,5.2,,,,,,,,,
Iraq,,0.07,2.91,,,,,,,,,,
Ireland,,0.94,6.93,,,,,,,,,,
Israel,,,0.01,,,,,,,,,,
Italy,23.65,42.63,22.12,13.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5299999999999976,55.47736335913675,0.8180148792865992
Japan,14.22,76.07,12.33,12.3,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000006,18.693308794531355,0.49184657858162545
Kazakhstan,,,6.41,,,,,,,,,,
Latvia,,,60.04,,,,,,,,,,
Lithuania,,,1.88,,,,,,,,,,
Luxemberg,,0.09,7.41,0.6,,,,,,,,,
Malaysia,,0.59,25.22,,,0.0,,0.0,0.0,,,,
Mexico,31.25,8.86,29.55,8.9,,0.0,,,0.0,,1.6999999999999993,352.7088036117382,1.0808864684019546
Moroco,6.62,1.21,6.62,20.2,0.0,0.0,0.0,,0.0,,0.0,547.1074380165289,0.22897498946627007
Netherlands,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,inf,0.02455774056209241
New Zealand,76.3,10.02,69.24,,,0.0,,0.0,0.0,,7.060000000000002,761.4770459081836,2.6390924012502124
North Macedonia,,,,,,,,,,,,,
Norway,99.12,49.45,99.12,,0.0,0.0,,0.0,0.0,,0.0,200.44489383215367,3.428398935936056
Oman,0.0,,0.0,,,0.0,,,0.0,,0.0,,0.0
Pakistan,45.18,2.2,45.18,7.9,,0.0,,,0.0,,0.0,2053.6363636363635,1.5627024205568099
Peru,78.86,2.63,77.47,14.1,,0.0,,,0.0,,1.3900000000000006,2998.4790874524715,2.7276386207417005
Philippines,50.49,1.55,24.39,,0.0,0.0,,0.0,0.0,,26.1,3257.4193548387098,1.7463666492676702
Poland,1.63,0.9,1.34,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2899999999999998,181.11111111111111,0.05637903819184595
Portugal,59.48,3.98,56.58,,0.0,0.0,,0.0,0.0,,2.8999999999999986,1494.4723618090452,2.0573160684975442
Romania,17.7,1.0,17.7,1.1,,0.0,,,0.0,,0.0,1770.0,0.6122140957028671
Russia,,,16.6,,,,,,,,,,
Saudi Arabia,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0
Singapore,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0
Slovakia,9.41,2.22,9.41,6.2,,0.0,,,0.0,,0.0,423.87387387387383,0.3254765333651966
Slovenia,,,,,,,,,,,,,
South Africa,0.43,0.04,0.43,0.0,,0.0,,,0.0,,0.0,1075.0,0.014872997805210895
South Korea,5.08,0.71,5.08,,,0.0,,,0.0,,0.0,715.492957746479,0.17570890430342176
Spain,25.2,19.69,24.72,,0.0,0.0,,0.0,0.0,,0.4800000000000004,127.98374809547992,0.8716268481193362
Sri Lanka,97.18,0.36,97.18,,0.0,0.0,,0.0,0.0,,0.0,26994.444444444445,3.3612975039776627
Sweden,53.08,46.42,51.76,,0.0,0.0,,0.0,0.0,,1.3200000000000003,114.34726411029727,1.835950519768824
Switzerland,57.54,24.1,56.89,,0.0,0.0,,0.0,0.0,,0.6499999999999986,238.7551867219917,1.990214636539151
Taiwan,10.81,2.59,10.8,10.9,,0.0,,,0.0,,0.009999999999999787,417.3745173745174,0.3739002471496042
Thailand,16.03,0.84,16.03,,,0.0,,,0.0,,0.0,1908.3333333333335,0.5544515228314667
Trinidad and Tobago,,,,,,0.0,,,0.0,,,,
Turkey,35.22,2.18,35.2,,0.0,0.0,,0.0,0.0,,0.01999999999999602,1615.5963302752293,1.218202285347739
Turkmenistan,,,0.03,,,,,,,,,,
Ukraine,,,3.94,,,,,,,,,,
United Kingdom,1.33,4.61,1.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.850325379609544,0.04600252809518719
United States,12.18,198.97,10.81,4.1,,0.0,,,0.0,,1.3699999999999992,6.121525858169574,0.42128630992434585
Uzbekistan,,,11.33,,,,,,,,,,
Venezuela,47.89,1.37,47.89,2.1,,0.0,,,0.0,,0.0,3495.620437956204,1.6564368950966275
Vietnam,29.14,0.34,29.14,,,0.0,,,0.0,,0.0,8570.588235294117,1.0079050140554546
Other,,,,,,,,,,,,,
Africa,19.2,13.91,19.09,5.7,0.0,0.0,0.0,,0.0,,0.10999999999999943,138.03019410496046,0.6640966461861609
Africa (EI),19.2,13.91,19.09,5.7,0.0,0.0,0.0,,0.0,,0.10999999999999943,138.03019410496046,0.6640966461861609
Asia,18.01,142.91,17.08,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9300000000000033,12.602337135259956,0.6229364894694146
Asia Pacific (EI),19.78,156.09,18.55,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2300000000000004,12.672176308539944,0.6841578990397013
CIS (EI),,81.43,15.99,3.5,0.0,,0.0,0.0,,0.0,,,
Central America (EI),79.93,1.36,71.53,,,0.0,,,0.0,,8.400000000000006,5877.205882352941,2.7646481734197836
Eastern Africa (EI),82.65,6.05,81.71,,,0.0,,,0.0,,0.9400000000000119,1366.1157024793388,2.85872853162949
Europe,17.21,381.45,16.91,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000007,4.511731550661948,0.5952657958783245
Europe (EI),17.82,302.2,17.42,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,5.896757114493713,0.6163646997415306
