Country/area,2022_Renewable(%),2022_Hydro_generation(TWH),2022_Hydro_generation(%),2022_Hydro_consumption(%),2022_Wind_generation(TWH),2022_Wind_generation(%),2022_Wind_consumption(%),2022_Solar_generation(TWH),2022_Solar_generation(%),2022_Solar_consumption(%)
Algeria,,0.40 TWh,5.26%,4.8%,,,,,,
Argentina,,1.23 TWh,45.59%,1.1%,,,,,,
Australia,,7.69 TWh,11.27%,5.3%,,,,,,
Austria,,16.08 TWh,70.36%,25.1%,,,,,,
Azerbaijan,,,6.34%,,,,,,,
Bangladesh,16.32%,,16.32%,,,0.0%,,,0.00%,
Belarus,,,0.06%,,,,,,,
Belgium,,0.27 TWh,0.50%,0.2%,,0.0%,,,,
Brazil,,25.52 TWh,92.10%,27.5%,,0.0%,,,,
Bulgaria,,2.00 TWh,5.37%,4.9%,,,,,,
Canada,,118.09 TWh,66.15%,25.1%,,0.0%,,,,
Chile,,3.95 TWh,78.85%,16.1%,,,,,,
China,22.50%,22.10 TWh,22.50%,4.3%,,0.0%,,,0.00%,
Colombia,,3.54 TWh,62.78%,10.7%,,,,,,
Croatia,,,,,,,,,,
Czechia,,2.23 TWh,2.88%,1.4%,,,,,,
Denmark,,0.03 TWh,0.10%,,,0.2%,,,,
Ecuador,,0.25 TWh,71.94%,,,,,,,
Egypt,,1.73 TWh,30.24%,5.6%,,0.0%,,,,
Estonia,,,0.00%,,,,,,,
Finland,,9.35 TWh,24.97%,,,,,,,
France,,46.88 TWh,17.97%,10.6%,,,,,,
Germany,,16.21 TWh,3.33%,1.6%,,0.0%,,,,
Greece,,0.80 TWh,10.11%,,,0.0%,,,,
Hong Kong,,0.00 TWh,0.00%,,,,,,,
Hungary,,0.07 TWh,0.58%,0.1%,,,,,,
Iceland,,0.64 TWh,95.45%,,,,,,,
India,27.80%,19.17 TWh,27.80%,9.1%,0.00 TWh,0.0%,0.00%,,0.00%,
Indonesia,16.90%,1.83 TWh,16.90%,6.4%,0.00 TWh,0.0%,0.00%,,0.00%,
Iran,,1.72 TWh,15.16%,5.2%,,,,,,
Iraq,,0.07 TWh,2.91%,,,,,,,
Ireland,,0.94 TWh,6.93%,,,,,,,
Israel,,,0.01%,,,,,,,
Italy,23.65%,42.63 TWh,22.12%,13.6%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Japan,14.22%,76.07 TWh,12.33%,12.3%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Kazakhstan,,,6.41%,,,,,,,
Latvia,,,60.04%,,,,,,,
Lithuania,,,1.88%,,,,,,,
Luxembourg,,0.09 TWh,7.41%,0.6%,,,,,,
Malaysia,25.22%,0.59 TWh,25.22%,,,0.0%,,0.00 TWh,0.00%,
Mexico,31.25%,8.86 TWh,29.55%,8.9%,,0.0%,,,0.00%,
Morocco,6.62%,1.21 TWh,6.62%,20.2%,0.00 TWh,0.0%,0.00%,,0.00%,
Netherlands,0.71%,0.00 TWh,0.00%,0.0%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
New Zealand,76.30%,10.02 TWh,69.24%,,,0.0%,,0.00 TWh,0.00%,
North Macedonia,,,,,,,,,,
Norway,99.12%,49.45 TWh,99.12%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Oman,0.00%,,0.00%,,,0.0%,,,0.00%,
Pakistan,45.18%,2.20 TWh,45.18%,7.9%,,0.0%,,,0.00%,
Peru,78.86%,2.63 TWh,77.47%,14.1%,,0.0%,,,0.00%,
Philippines,50.49%,1.55 TWh,24.39%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Poland,1.63%,0.90 TWh,1.34%,0.3%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Portugal,59.48%,3.98 TWh,56.58%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Romania,17.70%,1.00 TWh,17.70%,1.1%,,0.0%,,,0.00%,
Russia,,,16.60%,,,,,,,
Saudi Arabia,0.00%,0.00 TWh,0.00%,0.0%,,0.0%,,,0.00%,
Singapore,0.00%,0.00 TWh,0.00%,,,0.0%,,,0.00%,
Slovakia,9.41%,2.22 TWh,9.41%,6.2%,,0.0%,,,0.00%,
Slovenia,,,,,,,,,,
South Africa,0.43%,0.04 TWh,0.43%,0.0%,,0.0%,,,0.00%,
South Korea,5.08%,0.71 TWh,5.08%,,,0.0%,,,0.00%,
Spain,25.20%,19.69 TWh,24.72%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Sri Lanka,97.18%,0.36 TWh,97.18%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Sweden,53.08%,46.42 TWh,51.76%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Switzerland,57.54%,24.10 TWh,56.89%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Taiwan,10.81%,2.59 TWh,10.80%,10.9%,,0.0%,,,0.00%,
Thailand,16.03%,0.84 TWh,16.03%,,,0.0%,,,0.00%,
Trinidad and Tobago,,,,,,0.0%,,,0.00%,
Turkey,35.22%,2.18 TWh,35.20%,,0.00 TWh,0.0%,,0.00 TWh,0.00%,
Turkmenistan,,,0.03%,,,,,,,
Ukraine,,,3.94%,,,,,,,
United Kingdom,1.33%,4.61 TWh,1.33%,0.6%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
United States,12.18%,198.97 TWh,10.81%,4.1%,,0.0%,,,0.00%,
Uzbekistan,,,11.33%,,,,,,,
Venezuela,47.89%,1.37 TWh,47.89%,2.1%,,0.0%,,,0.00%,
Vietnam,29.14%,0.34 TWh,29.14%,,,0.0%,,,0.00%,
Other,,,,,,,,,,
Africa,19.20%,13.91 TWh,19.09%,5.7%,0.00 TWh,0.0%,0.00%,,0.00%,
Africa (EI),19.20%,13.91 TWh,19.09%,5.7%,0.00 TWh,0.0%,0.00%,,0.00%,
Asia,18.01%,142.91 TWh,17.08%,7.9%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Asia Pacific (EI),19.78%,156.09 TWh,18.55%,8.8%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
CIS (EI),,81.43 TWh,15.99%,3.5%,0.00 TWh,,0.00%,0.00 TWh,,0.00%
Central America (EI),79.93%,1.36 TWh,71.53%,,,0.0%,,,0.00%,
Eastern Africa (EI),82.65%,6.05 TWh,81.71%,,,0.0%,,,0.00%,
Europe,17.21%,381.45 TWh,16.91%,5.9%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Europe (EI),17.82%,302.20 TWh,17.42%,7.2%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
European Union (27),15.60%,211.81 TWh,15.06%,6.7%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
High-income countries,18.61%,706.70 TWh,17.63%,6.8%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Lower-middle-income countries,17.19%,30.51 TWh,16.31%,8.1%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Middle Africa (EI),93.90%,3.94 TWh,93.90%,30.6%,,0.0%,,,0.00%,
Middle East (EI),5.69%,2.35 TWh,5.69%,1.3%,,0.0%,,,0.00%,
Non-OECD (EI),23.36%,204.96 TWh,23.01%,4.8%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
North America,20.35%,326.29 TWh,19.09%,5.9%,,0.0%,,,0.00%,
North America (EI),20.51%,325.93 TWh,19.28%,6.0%,,0.0%,,,0.00%,
OECD (EI),19.53%,718.24 TWh,18.51%,6.9%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Oceania,23.74%,17.71 TWh,22.12%,10.2%,,0.0%,,0.00 TWh,0.00%,0.00%
South America,77.56%,39.58 TWh,76.47%,11.0%,,0.0%,,,0.00%,
South and Central America (EI),70.85%,41.30 TWh,69.37%,8.9%,,0.0%,,,0.00%,
Upper-middle-income countries,25.53%,152.64 TWh,25.29%,4.4%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
Western Africa (EI),45.30%,0.48 TWh,45.07%,2.5%,,0.0%,,,0.00%,
World,20.82%,923.20 TWh,20.02%,6.3%,0.00 TWh,0.0%,0.00%,0.00 TWh,0.00%,0.00%
