Country/area,2022_Renewable(%),2022_Hydro_generation(TWH),2022_Hydro_generation(%),2022_Hydro_consumption(%),2022_Wind_generation(TWH),2022_Wind_generation(%),2022_Wind_consumption(%),2022_Solar_generation(TWH),2022_Solar_generation(%),2022_Solar_consumption(%)
Algeria,,,5.26,4.8,,,,,,
Argentina,,1.23,45.59,1.1,,,,,,
Australia,,7.69,11.27,5.3,,,,,,
Austria,,16.08,70.36,25.1,,,,,,
Azerbaijan,,,6.34,,,,,,,
Bangladesh,16.32,,16.32,,,0.0,,,0.0,
Belarus,,,0.06,,,,,,,
Belgium,,0.27,0.5,0.2,,0.0,,,,
Brazil,,25.52,92.1,27.5,,0.0,,,,
Bulgaria,,2.0,5.37,4.9,,,,,,
Canada,,118.09,66.15,25.1,,0.0,,,,
Chile,,3.95,78.85,16.1,,,,,,
China,22.5,22.1,22.5,4.3,,0.0,,,0.0,
Colombia,,3.54,62.78,10.7,,,,,,
Croatia,,,,,,,,,,
Shechia,,2.23,2.88,1.4,,,,,,
Denmark,,0.03,0.1,,,0.2,,,,
Equador,,0.25,71.94,,,,,,,
Egypt,,1.73,30.24,5.6,,0.0,,,,
Estonia,,,0.0,,,,,,,
Finland,,9.35,24.97,,,,,,,
France,,46.88,17.97,10.6,,,,,,
Germany,,16.21,3.33,1.6,,0.0,,,,
Greece,,0.8,10.11,,,0.0,,,,
Hong Kong,,0.0,0.0,,,,,,,
Hungary,,0.07,0.58,0.1,,,,,,
Iceland,,0.64,95.45,,,,,,,
India,27.8,19.17,27.8,9.1,0.0,0.0,0.0,,0.0,
Indonesia,16.9,1.83,16.9,6.4,0.0,0.0,0.0,,0.0,
Iran,,1.72,15.16,5.2,,,,,,
Iraq,,0.07,2.91,,,,,,,
Ireland,,0.94,6.93,,,,,,,
Israel,,,0.01,,,,,,,
Italy,23.65,42.63,22.12,13.6,0.0,0.0,0.0,0.0,0.0,0.0
Japan,14.22,76.07,12.33,12.3,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,,,6.41,,,,,,,
Latvia,,,60.04,,,,,,,
Lithuania,,,1.88,,,,,,,
Luxemberg,,0.09,7.41,0.6,,,,,,
Malaysia,,0.59,25.22,,,0.0,,0.0,0.0,
Mexico,31.25,8.86,29.55,8.9,,0.0,,,0.0,
Moroco,6.62,1.21,6.62,20.2,0.0,0.0,0.0,,0.0,
Netherlands,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,76.3,10.02,69.24,,,0.0,,0.0,0.0,
North Macedonia,,,,,,,,,,
Norway,99.12,49.45,99.12,,0.0,0.0,,0.0,0.0,
Oman,0.0,,0.0,,,0.0,,,0.0,
Pakistan,45.18,2.2,45.18,7.9,,0.0,,,0.0,
Peru,78.86,2.63,77.47,14.1,,0.0,,,0.0,
Philippines,50.49,1.55,24.39,,0.0,0.0,,0.0,0.0,
Poland,1.63,0.9,1.34,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,59.48,3.98,56.58,,0.0,0.0,,0.0,0.0,
Romania,17.7,1.0,17.7,1.1,,0.0,,,0.0,
Russia,,,16.6,,,,,,,
Saudi Arabia,0.0,0.0,0.0,0.0,,0.0,,,0.0,
Singapore,0.0,0.0,0.0,,,0.0,,,0.0,
Slovakia,9.41,2.22,9.41,6.2,,0.0,,,0.0,
Slovenia,,,,,,,,,,
South Africa,0.43,0.04,0.43,0.0,,0.0,,,0.0,
South Korea,5.08,0.71,5.08,,,0.0,,,0.0,
Spain,25.2,19.69,24.72,,0.0,0.0,,0.0,0.0,
Sri Lanka,97.18,0.36,97.18,,0.0,0.0,,0.0,0.0,
Sweden,53.08,46.42,51.76,,0.0,0.0,,0.0,0.0,
Switzerland,57.54,24.1,56.89,,0.0,0.0,,0.0,0.0,
Taiwan,10.81,2.59,10.8,10.9,,0.0,,,0.0,
Thailand,16.03,0.84,16.03,,,0.0,,,0.0,
Trinidad and Tobago,,,,,,0.0,,,0.0,
Turkey,35.22,2.18,35.2,,0.0,0.0,,0.0,0.0,
Turkmenistan,,,0.03,,,,,,,
Ukraine,,,3.94,,,,,,,
United Kingdom,1.33,4.61,1.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0
United States,12.18,198.97,10.81,4.1,,0.0,,,0.0,
Uzbekistan,,,11.33,,,,,,,
Venezuela,47.89,1.37,47.89,2.1,,0.0,,,0.0,
Vietnam,29.14,0.34,29.14,,,0.0,,,0.0,
Other,,,,,,,,,,
Africa,19.2,13.91,19.09,5.7,0.0,0.0,0.0,,0.0,
Africa (EI),19.2,13.91,19.09,5.7,0.0,0.0,0.0,,0.0,
Asia,18.01,142.91,17.08,7.9,0.0,0.0,0.0,0.0,0.0,0.0
Asia Pacific (EI),19.78,156.09,18.55,8.8,0.0,0.0,0.0,0.0,0.0,0.0
CIS (EI),,81.43,15.99,3.5,0.0,,0.0,0.0,,0.0
Central America (EI),79.93,1.36,71.53,,,0.0,,,0.0,
Eastern Africa (EI),82.65,6.05,81.71,,,0.0,,,0.0,
Europe,17.21,381.45,16.91,5.9,0.0,0.0,0.0,0.0,0.0,0.0
Europe (EI),17.82,302.2,17.42,7.2,0.0,0.0,0.0,0.0,0.0,0.0
European Union (27),15.6,211.81,15.06,6.7,0.0,0.0,0.0,0.0,0.0,0.0
High-income countries,18.61,706.7,17.63,6.8,0.0,0.0,0.0,0.0,0.0,0.0
Lower-middle-income countries,17.19,30.51,16.31,8.1,0.0,0.0,0.0,0.0,0.0,0.0
Middle Africa (EI),,3.94,93.9,30.6,,0.0,,,0.0,
Middle East (EI),5.69,2.35,5.69,1.3,,0.0,,,0.0,
Non-OECD (EI),23.36,204.96,23.01,4.8,0.0,0.0,0.0,0.0,0.0,0.0
North America,20.35,326.29,19.09,5.9,,0.0,,,0.0,
North America (EI),20.51,325.93,19.28,6.0,,0.0,,,0.0,
OECD (EI),19.53,718.24,18.51,6.9,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,23.74,17.71,22.12,10.2,,0.0,,0.0,0.0,0.0
South America,,39.58,76.47,11.0,,0.0,,,0.0,
South and Central America (EI),70.85,41.3,69.37,8.9,,0.0,,,0.0,
Upper-middle-income countries,25.53,152.64,25.29,4.4,0.0,0.0,0.0,0.0,0.0,0.0
Western Africa (EI),45.3,0.48,45.07,2.5,,0.0,,,0.0,
World,20.82,923.2,20.02,6.3,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,
